iter	Passed	Remaining
0	5	569
1	8	397
2	10	337
3	14	345
4	17	335
5	20	315
6	22	299
7	24	287
8	29	300
9	32	294
10	35	284
11	37	275
12	40	267
13	44	273
14	47	270
15	50	262
16	52	255
17	54	248
18	56	242
19	62	251
20	65	245
21	67	239
22	69	234
23	72	228
24	77	231
25	79	227
26	82	221
27	84	217
28	86	212
29	94	219
30	97	216
31	99	211
32	101	206
33	106	206
34	108	201
35	110	197
36	113	193
37	115	189
38	118	185
39	121	182
40	124	178
41	125	172
42	127	168
43	129	165
44	131	161
45	134	158
46	137	155
47	140	151
48	142	148
49	144	144
50	147	141
51	150	138
52	152	135
53	154	131
54	156	127
55	158	124
56	160	121
57	163	118
58	165	115
59	168	112
60	170	109
61	173	106
62	175	103
63	178	100
64	180	97
65	183	94
66	185	91
67	187	88
68	190	85
69	192	82
70	194	79
71	197	76
72	199	73
73	201	70
74	204	68
75	206	65
76	208	62
77	211	59
78	213	56
79	216	54
80	218	51
81	220	48
82	223	45
83	225	42
84	227	40
85	229	37
86	232	34
87	234	31
88	237	29
89	239	26
90	242	23
91	244	21
92	248	18
93	250	15
94	252	13
95	255	10
96	257	7
97	259	5
98	261	2
99	264	0
